appellation,annee,volume_hl,couleur
Chambolle-Musigny,2012,6489,rouge
Chambolle-Musigny,2013,6927,rouge
Chambolle-Musigny,2014,8728,rouge
Chambolle-Musigny,2015,8738,rouge
Chambolle-Musigny,2016,5973,rouge
Chambolle-Musigny,2017,5855,rouge
Chambolle-Musigny,2018,9232,rouge
Chambolle-Musigny,2019,7223,rouge
Châteauneuf-du-Pape,2009,93550,rouge
Châteauneuf-du-Pape,2010,93951,rouge
Châteauneuf-du-Pape,2011,103716,rouge
Châteauneuf-du-Pape,2012,84551,rouge
Châteauneuf-du-Pape,2013,95371,rouge
Châteauneuf-du-Pape,2014,104829,rouge
Châteauneuf-du-Pape,2015,116366,rouge
Châteauneuf-du-Pape,2016,70181,rouge
Châteauneuf-du-Pape,2017,68909,rouge
Châteauneuf-du-Pape,2018,107171,rouge
Châteauneuf-du-Pape,2019,100497,rouge
Côtes du Rhône,2009,1727613,rouge
Côtes du Rhône,2010,1625241,rouge
Côtes du Rhône,2011,1874460,rouge
Côtes du Rhône,2012,1510876,rouge
Côtes du Rhône,2013,1597323,rouge
Côtes du Rhône,2014,1762503,rouge
Côtes du Rhône,2015,2075652,rouge
Côtes du Rhône,2016,1337716,rouge
Côtes du Rhône,2017,1332847,rouge
Côtes du Rhône,2018,1995943,rouge
Côtes du Rhône,2019,1587040,rouge
Hermitage,2009,5399,rouge
Hermitage,2010,5005,rouge
Hermitage,2011,5643,rouge
Hermitage,2012,4539,rouge
Hermitage,2013,4856,rouge
Hermitage,2014,4827,rouge
Hermitage,2015,5387,rouge
Hermitage,2016,3578,rouge
Hermitage,2017,3444,rouge
Hermitage,2018,5111,rouge
Hermitage,2019,4658,rouge
Côte-Rôtie,2009,8621,rouge
Côte-Rôtie,2010,7314,rouge
Côte-Rôtie,2011,8781,rouge
Côte-Rôtie,2012,6751,rouge
Côte-Rôtie,2013,7269,rouge
Côte-Rôtie,2014,8757,rouge
Côte-Rôtie,2015,9324,rouge
Côte-Rôtie,2016,6053,rouge
Côte-Rôtie,2017,5795,rouge
Côte-Rôtie,2018,8313,rouge
Côte-Rôtie,2019,7352,rouge
Gigondas,2009,42999,rouge
Gigondas,2010,38481,rouge
Gigondas,2011,42283,rouge
Gigondas,2012,35348,rouge
Gigondas,2013,34192,rouge
Gigondas,2014,41349,rouge
Gigondas,2015,43219,rouge
Gigondas,2016,31693,rouge
Gigondas,2017,26465,rouge
Gigondas,2018,47243,rouge
Gigondas,2019,35447,rouge
Condrieu,2009,5223,blanc
Condrieu,2010,5304,blanc
Condrieu,2011,5936,blanc
Condrieu,2012,4476,blanc
Condrieu,2013,4752,blanc
Condrieu,2014,5960,blanc
Condrieu,2015,5698,blanc
Condrieu,2016,4187,blanc
Condrieu,2017,3923,blanc
Condrieu,2018,5971,blanc
Condrieu,2019,5294,blanc
Champagne,2009,2509113,effervescent
Champagne,2010,2540188,effervescent
Champagne,2011,2500788,effervescent
Champagne,2012,2198505,effervescent
Champagne,2013,2203836,effervescent
Champagne,2014,2507480,effervescent
Champagne,2015,2774170,effervescent
Champagne,2016,1088999,effervescent
Champagne,2017,1019117,effervescent
Champagne,2018,2860820,effervescent
Champagne,2019,2212566,effervescent
Alsace,2009,794660,blanc
Alsace,2010,820612,blanc
Alsace,2011,906675,blanc
Alsace,2012,633570,blanc
Alsace,2013,702221,blanc
Alsace,2014,785344,blanc
Alsace,2015,923893,blanc
Alsace,2016,636562,blanc
Alsace,2017,593982,blanc
Alsace,2018,861629,blanc
Alsace,2019,718382,blanc
Sancerre,2009,189611,blanc
Sancerre,2010,176568,blanc
Sancerre,2011,192377,blanc
Sancerre,2012,164927,blanc
Sancerre,2013,169679,blanc
Sancerre,2014,169141,blanc
Sancerre,2015,204263,blanc
Sancerre,2016,84933,blanc
Sancerre,2017,84041,blanc
Sancerre,2018,211905,blanc
Sancerre,2019,160994,blanc
Pouilly-Fumé,2009,65692,blanc
Pouilly-Fumé,2010,62318,blanc
Pouilly-Fumé,2011,74125,blanc
Pouilly-Fumé,2012,57332,blanc
Pouilly-Fumé,2013,65480,blanc
Pouilly-Fumé,2014,73886,blanc
Pouilly-Fumé,2015,72014,blanc
Pouilly-Fumé,2016,34857,blanc
Pouilly-Fumé,2017,30647,blanc
Pouilly-Fumé,2018,76858,blanc
Pouilly-Fumé,2019,70812,blanc
Vouvray,2009,63322,blanc
Vouvray,2010,53281,blanc
Vouvray,2011,62229,blanc
Vouvray,2012,49177,blanc
Vouvray,2013,50815,blanc
Vouvray,2014,63854,blanc
Vouvray,2015,66221,blanc
Vouvray,2016,23807,blanc
Vouvray,2017,23991,blanc
Vouvray,2018,66545,blanc
Vouvray,2019,56340,blanc
Chinon,2009,59900,rouge
Chinon,2010,57553,rouge
Chinon,2011,72433,rouge
Chinon,2012,58820,rouge
Chinon,2013,60236,rouge
Chinon,2014,69849,rouge
Chinon,2015,71126,rouge
Chinon,2016,27603,rouge
Chinon,2017,25672,rouge
Chinon,2018,69306,rouge
Chinon,2019,65691,rouge
Muscadet,2009,418951,blanc
Muscadet,2010,401930,blanc
Muscadet,2011,446807,blanc
Muscadet,2012,324228,blanc
Muscadet,2013,353252,blanc
Muscadet,2014,382070,blanc
Muscadet,2015,451361,blanc
Muscadet,2016,206985,blanc
Muscadet,2017,179273,blanc
Muscadet,2018,448494,blanc
Muscadet,2019,358996,blanc
Anjou,2009,374073,rouge
Anjou,2010,351897,rouge
Anjou,2011,395500,rouge
Anjou,2012,312292,rouge
Anjou,2013,341650,rouge
Anjou,2014,329855,rouge
Anjou,2015,392307,rouge
Anjou,2016,140498,rouge
Anjou,2017,144038,rouge
Anjou,2018,403617,rouge
Anjou,2019,351868,rouge
Bandol,2009,41988,rouge
Bandol,2010,36582,rouge
Bandol,2011,43931,rouge
Bandol,2012,31868,rouge
Bandol,2013,38991,rouge
Bandol,2014,43140,rouge
Bandol,2015,41281,rouge
Bandol,2016,31519,rouge
Bandol,2017,27822,rouge
Bandol,2018,42628,rouge
Bandol,2019,39795,rouge
Côtes de Provence,2009,1147698,rosé
Côtes de Provence,2010,1053116,rosé
Côtes de Provence,2011,1198134,rosé
Côtes de Provence,2012,991972,rosé
Côtes de Provence,2013,1168359,rosé
Côtes de Provence,2014,1315435,rosé
Côtes de Provence,2015,1250199,rosé
Côtes de Provence,2016,920373,rosé
Côtes de Provence,2017,826516,rosé
Côtes de Provence,2018,1421618,rosé
Côtes de Provence,2019,1146605,rosé
Cahors,2009,192650,rouge
Cahors,2010,160475,rouge
Cahors,2011,203224,rouge
Cahors,2012,145131,rouge
Cahors,2013,177855,rouge
Cahors,2014,176710,rouge
Cahors,2015,182219,rouge
Cahors,2016,133586,rouge
Cahors,2017,130607,rouge
Cahors,2018,192097,rouge
Cahors,2019,173905,rouge
Madiran,2009,60109,rouge
Madiran,2010,55952,rouge
Madiran,2011,63772,rouge
Madiran,2012,48998,rouge
Madiran,2013,57043,rouge
Madiran,2014,56320,rouge
Madiran,2015,69212,rouge
Madiran,2016,45276,rouge
Madiran,2017,43474,rouge
Madiran,2018,68554,rouge
Madiran,2019,58556,rouge
Jurançon,2009,39131,blanc
Jurançon,2010,35385,blanc
Jurançon,2011,43103,blanc
Jurançon,2012,33076,blanc
Jurançon,2013,35704,blanc
Jurançon,2014,43071,blanc
Jurançon,2015,44718,blanc
Jurançon,2016,29041,blanc
Jurançon,2017,27145,blanc
Jurançon,2018,43355,blanc
Jurançon,2019,37406,blanc
Corbières,2009,338556,rouge
Corbières,2010,312671,rouge
Corbières,2011,362822,rouge
Corbières,2012,318461,rouge
Corbières,2013,331135,rouge
Corbières,2014,380008,rouge
Corbières,2015,384986,rouge
Corbières,2016,254139,rouge
Corbières,2017,246879,rouge
Corbières,2018,354225,rouge
Corbières,2019,321163,rouge
Minervois,2009,197756,rouge
Minervois,2010,192431,rouge
Minervois,2011,215198,rouge
Minervois,2012,169047,rouge
Minervois,2013,182297,rouge
Minervois,2014,194655,rouge
Minervois,2015,215073,rouge
Minervois,2016,159628,rouge
Minervois,2017,146630,rouge
Minervois,2018,208373,rouge
Minervois,2019,177377,rouge
Languedoc,2009,801977,rouge
Languedoc,2010,776165,rouge
Languedoc,2011,817849,rouge
Languedoc,2012,714644,rouge
Languedoc,2013,765574,rouge
Languedoc,2014,838560,rouge
Languedoc,2015,825934,rouge
Languedoc,2016,571116,rouge
Languedoc,2017,517388,rouge
Languedoc,2018,844073,rouge
Languedoc,2019,756976,rouge
